Residential,Industrial,Transportation
1770.101,2546.825,1755.798
1599.022,2718.266,1878.759
1356.503,2600.916,1838.055
1143.757,2649.246,1895.385
1135.642,2706.408,1837.282
1325.168,2789.066,1920.87
1269.521,2767.479,1912.897
1175.103,2666.503,1804.045
1177.535,2778.784,1925.975
1412.733,2755.875,1811.159
1946.932,2801.395,1990.374
2100.267,2702.748,1782.654
1871.852,2594.208,1721.018
1841.363,2794.422,1929.145
1381.721,2594.743,1866.613
1121.875,2592.147,1926.233
1209.729,2678.505,1874.057
1466.985,2735.585,1933.656
1454.854,2776.508,1940.623
1229.854,2673.755,1885.927
1188.966,2835.968,1930.092
1449.399,2816.011,1911.722
1902.838,2830.545,2009.957
2343.915,2931.485,1876.784
1983.998,2681.872,1798.498
1709.297,2777.391,1954.092
1308.377,2680.112,1927.673
1167.804,2710.074,1967.951
1279.739,2783.017,1948.788
1439.989,2792.112,1978.222
1370.364,2868.582,2069.175
1177.977,2760.141,1903.581
1169.547,2867.161,1981.137
1354.159,2786.972,1903.787
1804.109,2880.893,2055.432
2089.765,2828.321,1935.088
1868.291,2653.634,1802.265
1660.042,2807.901,2037.699
1337.603,2738.663,1923.614
1216.106,2822.132,2017.789
1255.672,2804.617,2038.244
1493.476,2888.645,1984.222
1592.866,2977.563,2063.092
1263.757,2799.249,1979.645
1194.096,2879.925,2034.249
1525.913,2837.927,1987.801
2026.385,2923.705,2047.36
2362.192,2952.549,1988.694
2075.841,2756.664,1906.704
1867.947,2951.009,2049.95
1456.973,2746.868,2003.115
1306.909,2892.024,2093.638
1351.452,2899.156,2011.443
1497.502,2922.274,2092.904
1471.297,2996.351,2147.911
1265.285,2806.881,1950.598
1251.451,3076.252,2145.758
1586.745,2951.734,2001.908
2004.627,2952.403,2046.559
2299.746,3014.243,1992.845
1881.555,2713.098,1873.402
1693.827,2909.554,2063.87
1388.104,2880.852,2069.13
1243.224,2935.624,2118.007
1267.557,2906.253,2054.017
1555.218,2995.85,2171.238
1484.145,3003.838,2119.568
1299.288,2883.219,2011.9
1297.235,3033.078,2122.471
1544.086,2905.345,2028.354
2010.274,3014.366,2126.495
2132.96,2946.383,2054.198
1771.983,2699.076,1871.07
1793.857,2908.171,2094.313
1361.831,2813.002,2141.274
1285.472,2934.085,2097.981
1438.702,2864.587,2096.738
1678.486,2976.612,2215.436
1615.311,3035.079,2178.677
1393.112,2864.8,2078.425
1282.537,2938.059,2176.52
1373.157,2831.819,2062.306
1834.368,3021.132,2193.103
2370.857,2912.173,2062.774
1830.83,2673.357,1913.255
1879.82,2882.972,2168.144
1449.993,2822.612,2115.522
1287.859,2878.782,2190.33
1410.864,2889.688,2170.275
1710.686,2959.066,2236.483
1674.65,3037.733,2256.303
1363.735,2905.74,2106.497
1281.685,2939.964,2253.54
1386.971,2884.061,2124.013
1913.542,2971.68,2352.309
2349.882,2906.111,2080.72
2052.023,2799.333,2074.715
1707.884,2930.002,2205.765
1428.876,2780.895,2157.252
1381.107,3009.138,2249.742
1480.5,2914.781,2223.546
1626.727,2875.157,2304.03
1679.048,3037.237,2334.193
1412.263,2821.747,2171.46
1327.015,2875.928,2285.675
1581.468,2824.297,2168.529
2390.387,2893.438,2299.664
2568.671,2835.43,2147.257
2015.997,2624.232,1986.941
1916.154,2833.678,2233.034
1466.078,2706.002,2170.036
1282.213,2763.858,2266.559
1412.824,2668.869,2188.426
1642.804,2707.693,2328.954
1710.875,2801.922,2294.261
1369.46,2599.333,2120.242
1331.189,2806.499,2252.048
1417.466,2682.575,2133.566
1900.985,2688.603,2160.812
2295.547,2765.618,2166.732
1916.924,2531.365,1996.617
1904.998,2740.928,2250.726
1507.425,2693.317,2218.591
1385.889,2768.139,2300.758
1516.637,2720.358,2259.308
1767.882,2834.178,2329.751
1733.224,2802.09,2347.156
1486.14,2647.326,2168.908
1423.064,2724.555,2267.277
1643.813,2723.646,2229.453
2207.014,2710.391,2310.456
2570.576,2777.652,2160.168
2255.247,2619.082,2022.197
1956.936,2696.763,2241.901
1489.799,2666.851,2197.701
1385.324,2681.92,2270.27
1427.75,2642.525,2226.906
1710.567,2766.077,2321.35
1736.6,2785.932,2391.982
1463.303,2633.168,2201.05
1366.984,2764.229,2320.763
1544.637,2701.203,2228.4
2210.445,2820.239,2317.49
2598.144,2801.229,2237.553
2268.371,2710.195,2176.606
1840.722,2790.514,2334.745
1457.872,2720.996,2287.102
1394.964,2834.624,2346.446
1516.908,2758.887,2319.206
1697.472,2828.267,2405.931
1648.672,2855.027,2403.447
1464.488,2727.527,2274.953
1392.235,2811.803,2389.847
1566.735,2795.099,2298.251
2239.052,2881.427,2368.673
2497.069,2811.31,2297.928
2076.693,2588.113,2136.653
1997.982,2814.428,2381.074
1463.095,2620.986,2316.036
1385.334,2764.999,2425.441
1593.761,2759.401,2350.806
1869.685,2713.419,2454.145
1866.875,2790.303,2480.751
1567.359,2537.174,2289.397
1430.354,2601.121,2387.074
1551.841,2669.034,2326.578
2322.083,2769.811,2434.428
2174.721,2723.508,2352.978
2002.831,2545.462,2145.259
1925.475,2727.984,2419.376
1459.652,2577.327,2350.051
1385.987,2727.957,2438.571
1565.778,2716.578,2406.472
1858.359,2707.335,2510.141
1842.567,2811.727,2525.087
1428.087,2672.207,2338.96
1399.647,2765.27,2449.661
1585.303,2700.984,2325.668
2051.705,2713.403,2454.401
2372.711,2798.577,2361.258
2361.491,2595.094,2180.415
1926.123,2697.44,2406.614
1511.643,2645.391,2367.974
1393.046,2738.929,2481.57
1539.152,2660.595,2430.549
1749.63,2693.589,2524.301
1885.756,2776.917,2541.363
1564.934,2614.738,2355.966
1402.084,2709.533,2443.027
1596.032,2678.014,2357.701
2234.117,2774.133,2408.674
2547.929,2822.905,2291.891
2265.649,2617.721,2133.031
1993.814,2690.215,2342.119
1524.956,2602.602,2313.894
1386.232,2695.337,2399.614
1623.676,2615.121,2294.932
1813.428,2647.223,2380.642
1731.862,2603.375,2369.668
1440.708,2379.787,2142.798
1377.772,2658.9,2338.746
1632.145,2527.032,2198.214
2352.914,2470.753,2280.675
2612.636,2510.514,2212.07
2102.393,2260.243,1998.485
1898.59,2373.628,2260.681
1506.017,2247.722,2222.13
1369.06,2299.099,2245.22
1522.871,2318.839,2247.589
1706.769,2337.33,2301.099
1713.245,2422.943,2327.674
1419.231,2345.459,2158.965
1414.164,2417.812,2269.198
1524.434,2393.414,2164.178
2318.955,2534.368,2279.744
2687.148,2513.985,2166.602
2246.675,2389.154,1983.638
1885.151,2576.58,2265.948
1346.616,2454.052,2252.745
1385.059,2551.029,2317.702
1658.143,2542.758,2289.322
1888.621,2559.335,2369.336
1854.747,2654.921,2368.098
1493.885,2529.738,2265.35
1330.039,2504.166,2297.777
1595.781,2544.163,2197.262
2472.49,2702.689,2285.126
2670.59,2672.078,2184.774
2157.161,2394.879,2010.433
1856.968,2669.877,2269.939
1453.834,2483.25,2204.558
1378.65,2532.228,2279.318
1606.349,2527.314,2286.597
1911.593,2580.527,2302.377
1849.415,2657.752,2332.898
1474.069,2497.877,2202.846
1345.822,2586.325,2239.641
1579.193,2610.124,2160.767
2119.518,2599.552,2237.913
2272.455,2663.772,2110.321
1912.277,2525.973,2047.371
1559.192,2554.073,2191.987
1296.502,2471.205,2163.721
1359.625,2597.279,2269.317
1531,2535.253,2236.186
1861.234,2599.334,2281.748
1748.712,2633.693,2333.266
1418.082,2459.219,2130.197
1342.862,2619.963,2218.577
1629.46,2591.676,2112.748
2040.293,2652.795,2120.528
2445.884,2702.96,2147.389
2078.597,2449.274,1953.236
2008.319,2583.159,2235.701
1496.681,2486.515,2186.56
1331.966,2624.685,2288.422
1493.529,2552.181,2241.226
1737.898,2647.542,2356.88
1663.212,2628.094,2358.882
1461.31,2573.851,2216.757
1359.484,2659.593,2308.862
1707.43,2700.184,2223.752
2394.661,2746.582,2232.936
2786.151,2770.461,2145.867
2330.732,2472.604,2015.578
2078.621,2611.414,2237.431
1434.159,2532.418,2237.554
1361.339,2587.385,2302.922
1510.849,2551.194,2266.752
1678.983,2647.933,2378.127
1655.455,2662.035,2379.161
1461.41,2561.791,2207.807
1356.899,2641.74,2367.103
1773.619,2634.272,2236.102
2157.294,2678.202,2348.05
2545.041,2748.399,2239.294
