# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=429555704
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-36.1529,8.3956e-006,0.5,1,1,0,36.1666,-0.757723
-36.1529,0,2.3351,0,1,1,36.5823,-0.757723
-31.6353,1,0.23024,1,1,0,34.9556,-0.360053
-32.1896,0.852592,0.239797,1,1,0,32.481,-0.428759
-30.2738,0.973043,0.212858,1,3,0,32.3801,0.0075358
-30.2738,0.666765,0.301595,1,3,0,31.0838,0.0075358
-30.6626,0.922538,0.182487,1,3,0,30.9169,-0.188294
-30.3979,1,0.250056,2,3,0,30.5911,-0.102548
-30.3979,0.455578,0.452422,1,1,0,30.4787,-0.102548
-30.7578,0.980336,0.150204,3,7,0,30.835,-0.211125
-31.6762,0.889396,0.26413,2,3,0,31.822,0.383241
-30.6151,0.878043,0.351757,2,3,0,31.3224,0.193562
-33.9518,0.031899,0.454313,1,1,0,34.4667,-0.597478
-33.8321,0.999917,0.0414404,3,7,0,34.0249,-0.587531
-32.5735,0.994471,0.0796568,1,3,0,34.2849,-0.470592
-31.5306,0.995638,0.150017,2,5,0,32.6534,0.363267
-30.2993,0.911709,0.281971,2,3,0,31.6349,0.0594181
-30.3429,0.964494,0.407235,1,1,0,30.3764,0.0919884
-30.3429,0.0822214,0.687262,1,3,0,30.3431,0.0919884
-30.6894,0.993217,0.0811634,3,7,0,30.7254,0.212655
-30.5877,0.84734,0.15022,1,3,0,33.1637,-0.16831
-30.2833,0.975163,0.178959,1,3,0,30.8962,0.0397179
-30.2833,0.531281,0.309406,1,1,0,30.9727,0.0397179
-30.3787,0.987593,0.145938,1,3,0,30.4367,0.111258
-30.3787,0.784745,0.259787,1,1,0,30.8549,0.111258
-30.2982,1,0.256582,1,1,0,30.3538,0.0582498
-32.7475,0.0695072,0.466487,1,1,0,33.6733,0.506085
-31.1539,0.999907,0.0615287,3,7,0,32.7829,0.305442
-30.7397,0.949735,0.112085,2,5,0,32.9354,-0.20696
-30.3677,0.99755,0.175997,2,3,0,30.7793,-0.0880494
-30.5898,0.897077,0.312668,1,1,0,30.634,-0.168883
-30.4527,1,0.418817,1,1,0,30.6741,-0.124892
