# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=429555704
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-32.803,0.53474,0.269155,1,1,0,32.9476,0.511628
-32.04,1,0.1657,1,1,0,32.7542,0.429004
-31.1752,1,0.245739,1,1,0,31.9271,0.309013
-30.2781,1,0.36317,1,1,0,30.6047,-0.0120015
-30.2781,0.10117,0.53488,1,1,0,30.5068,-0.0120015
-30.4539,0.971902,0.14799,1,3,0,30.6147,-0.125338
-30.4774,0.99497,0.207011,1,1,0,30.5098,-0.13383
-30.3705,1,0.301261,1,1,0,30.4689,-0.0895027
-30.3705,0.0136912,0.441075,1,1,0,31.2292,-0.0895027
-31.2178,0.968958,0.106333,2,7,0,31.3027,-0.29834
-30.9866,1,1.17831,2,3,0,31.2788,-0.258077
-30.9866,0,16.9506,0,1,1,31.4435,-0.258077
-30.9866,0.000659032,2.86467,1,1,0,31.1482,-0.258077
-30.3521,0.987434,0.283045,3,13,0,33.0137,0.0973243
-30.4574,0.99596,0.369382,2,5,0,30.6373,0.144323
-30.384,0.996903,0.569897,2,5,0,30.6055,-0.0961505
-30.4476,0.99015,0.959702,1,1,0,30.4508,-0.122966
-31.2261,0.807429,1.66386,2,3,0,31.2934,-0.299688
-30.5827,1,1.67128,1,1,0,31.0555,-0.166873
-30.4516,1,3.11343,1,1,0,30.8025,-0.124478
-30.4516,2.74181e-113,5.84936,1,1,0,30.6692,-0.124478
-30.6188,0.975138,0.467748,4,15,0,31.8428,-0.176866
-30.4713,0.996958,0.8199,3,7,0,30.7428,0.149344
-30.3775,1,1.53837,1,1,0,30.4678,0.110668
-30.3775,3.44837e-005,2.90233,1,1,0,31.1575,0.110668
-31.4878,0.992301,0.24555,3,15,0,31.8504,0.357182
-30.8513,0.973694,0.45578,2,7,0,33.2434,-0.231421
-30.839,1,0.793591,2,3,0,30.9055,-0.228851
-30.839,0.329582,1.48562,1,1,0,32.7526,-0.228851
