# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=429555704
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-33.51,1,0.25,1,1,0,45.4004,-0.559896
-33.51,0,14.3855,0,1,1,34.6331,-0.559896
-33.51,0,2.43117,0,1,1,33.6553,-0.559896
-31.5469,1,0.239791,1,1,0,33.0606,-0.347876
-31.766,0.963693,0.324332,2,3,0,32.0895,0.395043
-31.766,0.000549777,0.455169,1,1,0,32.4187,0.395043
-31.7214,0.999891,0.0362161,3,7,0,31.8349,0.389223
-30.277,0.999951,0.0614647,3,11,0,31.7243,0.0268093
-30.2764,0.999925,0.109694,2,3,0,30.279,0.0251302
-30.3336,0.96009,0.201787,2,3,0,30.5754,-0.0684765
-30.4888,0.925365,0.332967,2,3,0,30.5281,-0.137769
-30.4888,0.104965,0.496653,1,1,0,31.3905,-0.137769
-30.4919,0.999951,0.0561561,1,1,0,30.494,-0.13882
-30.658,0.966363,0.107549,2,7,0,31.5792,0.204821
-30.5625,1,0.185223,1,1,0,30.6663,0.178713
-31.4307,0.720493,0.352971,1,3,0,31.4604,-0.331213
-30.6601,1,0.282849,2,3,0,31.2257,-0.187667
-31.2165,0.150299,0.534927,1,3,0,31.4627,0.315814
-30.62,0.986502,0.0763981,2,5,0,32.1083,0.194867
-30.6514,0.960216,0.139174,2,3,0,31.2751,0.203123
-30.277,1,0.232418,1,3,0,30.5971,0.0269838
-30.277,0.0582516,0.433238,1,1,0,31.0381,0.0269838
-30.2756,0.999982,0.0505709,3,15,0,30.2804,0.0223739
-30.2742,0.999905,0.094597,2,5,0,30.2796,0.00209956
-30.2742,0.960549,0.175123,1,3,0,30.6019,0.00209956
-30.3074,0.987774,0.286788,2,3,0,30.3179,-0.0491943
-30.3074,0.0107294,0.503177,1,1,0,31.2476,-0.0491943
-30.2743,0.999976,0.0562317,3,9,0,30.3146,0.00152174
-30.3189,0.994257,0.102533,2,7,0,30.4514,-0.0583208
-30.6754,0.960847,0.182199,3,7,0,30.7419,-0.191518
-30.3042,0.366284,0.292647,2,3,0,34.8724,-0.0463106
-30.3679,0.99554,0.0927756,1,3,0,30.433,-0.088154
-30.2806,0.985897,0.163244,1,3,0,30.5339,0.0350084
-30.7519,0.857425,0.277361,2,3,0,30.8885,-0.209768
-30.5862,0.965564,0.332392,2,3,0,30.8409,-0.167886
-30.2764,1,0.527788,1,1,0,30.3155,0.0252252
-30.2764,4.82194e-030,0.910107,1,1,0,31.0842,0.0252252
-31.1647,0.950878,0.116918,2,5,0,31.4896,-0.289579
-30.3057,0.999717,0.178255,2,7,0,31.039,0.065319
-30.3077,0.996122,0.305791,2,3,0,30.333,0.0670686
-30.3077,0.0624983,0.515566,1,1,0,30.8909,0.0670686
-30.2878,0.99957,0.0827152,1,3,0,30.3276,0.046275
-31.0145,0.887172,0.140901,1,3,0,31.8361,0.280938
-30.8484,1,0.180313,2,3,0,31.0358,0.248501
-30.285,1,0.303337,1,1,0,30.5902,0.0423608
-30.285,0.0533245,0.506481,1,1,0,30.6395,0.0423608
-30.7889,0.983146,0.0847527,2,5,0,31.133,0.235751
-30.4497,1,0.13609,3,7,0,30.792,0.141457
